product_id,product_name,product_category,product_price
P1001-5B8355D8-F46E-49A1-9D24-28521B68BBB9,Whirlpool D31511,Air Conditioner,27840
P1001-D577B98E-F2D8-4663-BEE7-0BD650EE4637,Whirlpool B32431,Refrigrator,24670
P1001-EDFF60F0-56F1-4DEA-9650-D7C18745D290,LG X17558,Air Conditioner,45160
P1001-51115C52-4F68-4941-A0FD-74789F1DB962,Samsung U13390,Microwave,32630
P1001-31E3B132-1907-407F-A479-D7272882D18B,Samsung D10803,Refrigrator,46200
P1001-9E2AB8AC-B2D9-4011-AD0E-4EB4E4AB0CA6,LG E13096,Air Conditioner,37120
P1001-80E3B6ED-7E53-453A-B322-108348AB198B,LG U18224,Refrigrator,41830
P1001-7E5A72C3-A8A9-4724-9855-9107D7885549,Samsung X11489,Microwave,41940
P1001-5FC388DA-CF55-4DF0-9271-07FDD9EE9D2A,Haier X29530,Microwave,23820
P1001-7D40D448-D73F-4150-B11B-7D0905C6801B,Haier U29069,Microwave,45400
P1001-3499238E-7F82-471C-B295-C03448667035,Haier D10787,Air Conditioner,46170
P1001-35DEAC95-6C5E-43F7-B4F3-FA08D28C9398,Haier E23882,Air Conditioner,27750
P1001-DD142101-D5B6-47C3-B2FC-BDF9DEC20284,LG B23895,Microwave,35360
P1001-CD18DD78-8959-4F59-A883-BB2223652DB8,Haier E18323,Air Conditioner,46100
P1001-5C9D1615-27C0-4F5A-BC52-792DA0657C27,LG B31009,Refrigrator,31740
P1001-80BD55C2-655B-4E40-AF50-1E6B2BCCC8D4,LG U30686,Air Conditioner,45360
P1001-55BCCBBC-4AB4-478C-B91D-0D0EF16FFA41,Samsung B15361,Refrigrator,49560
P1001-605747EE-967B-486E-8C86-5F5C63AABA96,Samsung K11185,Microwave,25340
P1001-2D0D6D88-A4EE-4934-9C2A-C3A9D770C317,Samsung X20887,Microwave,25730
P1001-8272E4FC-BBB7-4160-AC4E-C8C2EE8B8E02,Samsung D10741,Microwave,22890
P1001-7DCF91D2-2FAF-4845-A721-EF6C755748B8,LG X26423,Microwave,36490
P1001-82C8FF87-48B4-4E6D-8C5F-83A7B1DC5AEC,Whirlpool B16287,Air Conditioner,22360
P1001-0172621A-AAFA-4292-B812-97ACF03DA7BC,Haier X35712,Refrigrator,28390
P1001-77849212-E9F3-45BB-9607-9DECA43B3ACF,Haier B14614,Microwave,36850
P1001-9CFFF477-5E28-4B0D-B91B-4FBB40DEEE94,Whirlpool F29186,Refrigrator,27660
P1001-FCA55CBD-BBAE-4C77-B0E1-55E204B22461,Haier X24480,Air Conditioner,43680
P1001-84A19770-8DCC-421D-A934-62C013E283A8,Whirlpool B38878,Air Conditioner,39210
P1001-F90D80CF-29D5-410B-9407-BA7A8154CE81,Samsung U17878,Microwave,22390
P1001-897BFADF-F849-466F-A589-B8254F9C5E50,Samsung X27740,Air Conditioner,30560
P1001-DAD0FE19-ADEB-486E-8638-8D7A988F7345,Haier D15294,Microwave,32810
P1001-8A532174-1D10-4F72-8B70-17EB34C88ACC,Samsung U19214,Microwave,42860
P1001-5EF3EF15-3410-490E-9A6D-ED56D8ADD70F,Haier F31864,Microwave,47310
P1001-5AD7A43E-FCEA-49ED-90C3-4DB875E88495,LG F39263,Refrigrator,22510
P1001-5E743701-5870-49C5-B0B9-E7211779EAAD,Whirlpool U31464,Refrigrator,48580
P1001-EDDF20B6-D140-4778-B2D9-405C8E061E10,Whirlpool K9870,Refrigrator,49970
P1001-72DD933E-DB39-4F8D-BA6D-888EA3113CBB,Haier K14905,Microwave,29130
P1001-49300953-53B4-448F-A861-C890F43CB3C4,LG X38402,Microwave,43840
P1001-27DE8E08-54FA-468A-9D47-280828872C07,Haier U13505,Refrigrator,38960
